,hour,day_of_week,action_code,actions_per_session,session_duration_sec,time_diff_sec,is_private_ip,is_bot
hour,1.0,-0.5008432970199788,0.018791497751742235,0.05446117014648728,-0.008051900183475253,0.0018507865827324336,-0.022425667234287485,0.026160334215714873
day_of_week,-0.5008432970199788,1.0,-0.02416502903837716,-0.25065258185825606,0.019271021340104864,0.015178373802165569,0.050237234679543226,-0.06954635673670766
action_code,0.018791497751742235,-0.02416502903837716,1.0,0.004967118079042635,0.01674496281751743,0.02476851335315646,0.007677871116985577,0.012210323272303855
actions_per_session,0.05446117014648728,-0.25065258185825606,0.004967118079042635,1.0,0.04425015867099271,0.007080546957154004,-0.19228996045055738,0.432222054730255
session_duration_sec,-0.008051900183475253,0.019271021340104864,0.01674496281751743,0.04425015867099271,1.0,0.6650742571435628,-0.09383905058083626,0.07300796990900818
time_diff_sec,0.0018507865827324336,0.015178373802165569,0.02476851335315646,0.007080546957154004,0.6650742571435628,1.0,-0.053203687739841986,0.03527765784543561
is_private_ip,-0.022425667234287485,0.050237234679543226,0.007677871116985577,-0.19228996045055738,-0.09383905058083626,-0.053203687739841986,1.0,-0.4802124639600028
is_bot,0.026160334215714873,-0.06954635673670766,0.012210323272303855,0.432222054730255,0.07300796990900818,0.03527765784543561,-0.4802124639600028,1.0
